Index,Gloss
0,1DOLLAR
1,5DOLLARS
2,8HOUR
3,9OCLOCK
4,A-LINEBOB
5,ABBREVIATE
6,ABOUT1
7,ABOUT2
8,ABOVE
9,ABSOLUTELYNOTHING
10,ACCENT
11,ACCEPT
12,ACCESS
13,ACCIDENT
14,ACCOMPLISH
15,ACCORDION
16,ACCOUNTANT
17,ACQUIRE
18,ACT
19,ACTION
20,ACTOR
21,ADD
22,ADDICT
23,ADDRESS
24,ADMIRE
25,ADMIT
26,ADOPT
27,ADULT
28,ADVANTAGE
29,ADVERTISE
30,AFRICA
31,AFTER
32,AFTERNOON
33,AGAIN
34,AGAINST
35,AGE
36,AGENCY
37,AGREEMENT
38,AIRPLANE
39,ALARM
40,ALASKA
41,ALCOHOL
42,ALIGN
43,ALITTLEBIT
44,ALL
45,ALLDAY
46,ALLGONE
47,ALLOFSUDDEN
48,ALLOVER
49,ALLOVERBODY
50,ALLTOGETHER
51,ALLWAY
52,ALONE
53,ALPHABET
54,ALRIGHT
55,ALWAYS
56,AMAZING
57,AMERICA
58,ANALYZE
59,AND
60,ANGEL
61,ANGRY
62,ANIMAL
63,ANNOUNCE
64,ANSWER
65,ANTLERS
66,ANY
67,ANYONE
68,APART
69,APPEAR
70,APPLE
71,APPOINTMENT
72,APRIL
73,ARCHEOLOGY
74,AREA
75,ARGUE
76,ARIZONA
77,ARM1
78,ARM2
79,ARM3
80,ARMY
81,ARREST1
82,ARREST2
83,ARREST3
84,ARRIVE
85,ART
86,ARTICLE
87,ARTICULATESIGN
88,ASIA
89,ASK
90,ASSEMBLY
91,ASSIGN
92,ASSIST
93,ASSISTANT
94,ASTRONAUT
95,AT
96,ATHLETE
97,ATLANTA
98,ATTENTION
99,ATTITUDE
100,AUDIENCE
101,AUDITORIUM
102,AUNT
103,AUSTRALIA
104,AUTISM1
105,AUTISM2
106,AUTOMATIC
107,AVERAGE
108,AVOID
109,AWAKE
110,AWARD
111,AWAY
112,AWKWARD
113,AXE1
114,AXE2
115,BABY1
116,BABY2
117,BABYSITTER
118,BACHELOR
119,BACK
120,BACKOUT
121,BACKPACK1
122,BACKPACK2
123,BACKUP
124,BACKYARD
125,BACON
126,BAD
127,BADGE
128,BAG1
129,BAG2
130,BAKE1
131,BAKE2
132,BALANCE
133,BALD
134,BALL
135,BALLOON
136,BANANA1
137,BANANA2
138,BANANA3
139,BANANA4
140,BANDAGE
141,BANDAID1
142,BANDAID2
143,BANK
144,BAR
145,BARELY
146,BARK1
